注文日,顧客ID,施設名,商品ID,商品名,数量,単価,売上金額,注文番号
2025-12-17,10001,心斎橋美容クリニック,FLR-101,Neuramis Deep,30,8900,267000,BC70014
2025-12-17,10003,天神美容外科,FLR-101,Neuramis Deep,20,8900,178000,BC70056
2025-12-31,10002,梅田スキンクリニック,BTX-201,Botulax 100U,30,6900,207000,BC70039
2025-12-31,10004,銀座クリニック,BTX-201,Botulax 100U,20,6900,138000,BC70083
2025-12-31,10004,銀座クリニック,REJ-010,Rejuran Healer,10,12800,128000,BC70075
2026-01-07,10001,心斎橋美容クリニック,JSH-001,Jalupro Super Hydro,30,9800,294000,BC70004
2026-01-07,10003,天神美容外科,JSH-001,Jalupro Super Hydro,50,9800,490000,BC70048
2026-01-14,10001,心斎橋美容クリニック,THR-301,Mint Lift Thread,30,14500,435000,BC70023
2026-01-14,10002,梅田スキンクリニック,REJ-010,Rejuran Healer,20,12800,256000,BC70031
2026-01-21,10003,天神美容外科,FLR-101,Neuramis Deep,20,8900,178000,BC70057
2026-01-28,10003,天神美容外科,THR-301,Mint Lift Thread,10,14500,145000,BC70066
2026-01-28,10004,銀座クリニック,BTX-201,Botulax 100U,30,6900,207000,BC70084
2026-02-04,10001,心斎橋美容クリニック,JSH-001,Jalupro Super Hydro,20,9800,196000,BC70005
2026-02-04,10003,天神美容外科,JSH-001,Jalupro Super Hydro,20,9800,196000,BC70049
2026-02-04,10004,銀座クリニック,REJ-010,Rejuran Healer,50,12800,640000,BC70076
2026-02-11,10001,心斎橋美容クリニック,FLR-101,Neuramis Deep,20,8900,178000,BC70015
2026-02-18,10003,天神美容外科,FLR-101,Neuramis Deep,50,8900,445000,BC70058
2026-02-25,10001,心斎橋美容クリニック,THR-301,Mint Lift Thread,20,14500,290000,BC70024
2026-02-25,10002,梅田スキンクリニック,BTX-201,Botulax 100U,30,6900,207000,BC70040
2026-03-04,10001,心斎橋美容クリニック,JSH-001,Jalupro Super Hydro,10,9800,98000,BC70006
2026-03-11,10001,心斎橋美容クリニック,FLR-101,Neuramis Deep,30,8900,267000,BC70016
2026-03-11,10002,梅田スキンクリニック,REJ-010,Rejuran Healer,50,12800,640000,BC70032
2026-03-11,10004,銀座クリニック,BTX-201,Botulax 100U,50,6900,345000,BC70085
2026-03-11,10004,銀座クリニック,REJ-010,Rejuran Healer,30,12800,384000,BC70077
2026-03-25,10003,天神美容外科,FLR-101,Neuramis Deep,30,8900,267000,BC70059
2026-03-25,10003,天神美容外科,THR-301,Mint Lift Thread,50,14500,725000,BC70067
2026-04-01,10001,心斎橋美容クリニック,THR-301,Mint Lift Thread,20,14500,290000,BC70025
2026-04-01,10003,天神美容外科,JSH-001,Jalupro Super Hydro,50,9800,490000,BC70050
2026-04-08,10002,梅田スキンクリニック,REJ-010,Rejuran Healer,10,12800,128000,BC70033
2026-04-15,10001,心斎橋美容クリニック,FLR-101,Neuramis Deep,10,8900,89000,BC70017
2026-04-15,10004,銀座クリニック,BTX-201,Botulax 100U,10,6900,69000,BC70086
2026-04-22,10002,梅田スキンクリニック,BTX-201,Botulax 100U,30,6900,207000,BC70041
2026-04-22,10003,天神美容外科,THR-301,Mint Lift Thread,20,14500,290000,BC70068
2026-04-22,10004,銀座クリニック,REJ-010,Rejuran Healer,30,12800,384000,BC70078
2026-04-29,10001,心斎橋美容クリニック,JSH-001,Jalupro Super Hydro,50,9800,490000,BC70007
2026-04-29,10001,心斎橋美容クリニック,THR-301,Mint Lift Thread,30,14500,435000,BC70026
2026-05-06,10003,天神美容外科,FLR-101,Neuramis Deep,10,8900,89000,BC70060
2026-05-13,10003,天神美容外科,JSH-001,Jalupro Super Hydro,20,9800,196000,BC70051
2026-05-20,10001,心斎橋美容クリニック,FLR-101,Neuramis Deep,30,8900,267000,BC70018
2026-05-20,10002,梅田スキンクリニック,BTX-201,Botulax 100U,50,6900,345000,BC70042
2026-05-20,10002,梅田スキンクリニック,REJ-010,Rejuran Healer,30,12800,384000,BC70034
2026-05-20,10003,天神美容外科,THR-301,Mint Lift Thread,20,14500,290000,BC70069
2026-05-20,10004,銀座クリニック,BTX-201,Botulax 100U,30,6900,207000,BC70087
2026-05-27,10001,心斎橋美容クリニック,JSH-001,Jalupro Super Hydro,20,9800,196000,BC70008
2026-06-10,10003,天神美容外科,FLR-101,Neuramis Deep,50,8900,445000,BC70061
2026-06-17,10001,心斎橋美容クリニック,FLR-101,Neuramis Deep,10,8900,89000,BC70019
2026-06-17,10004,銀座クリニック,REJ-010,Rejuran Healer,10,12800,128000,BC70079
2026-06-24,10001,心斎橋美容クリニック,JSH-001,Jalupro Super Hydro,50,9800,490000,BC70009
2026-06-24,10001,心斎橋美容クリニック,THR-301,Mint Lift Thread,30,14500,435000,BC70027
2026-06-24,10004,銀座クリニック,BTX-201,Botulax 100U,10,6900,69000,BC70088
2026-07-01,10002,梅田スキンクリニック,BTX-201,Botulax 100U,20,6900,138000,BC70043
2026-07-01,10002,梅田スキンクリニック,REJ-010,Rejuran Healer,50,12800,640000,BC70035
2026-07-08,10003,天神美容外科,JSH-001,Jalupro Super Hydro,30,9800,294000,BC70052
2026-07-15,10001,心斎橋美容クリニック,FLR-101,Neuramis Deep,20,8900,178000,BC70020
2026-07-15,10003,天神美容外科,THR-301,Mint Lift Thread,20,14500,290000,BC70070
2026-07-15,10004,銀座クリニック,REJ-010,Rejuran Healer,50,12800,640000,BC70080
2026-07-22,10001,心斎橋美容クリニック,JSH-001,Jalupro Super Hydro,10,9800,98000,BC70010
2026-07-22,10003,天神美容外科,FLR-101,Neuramis Deep,30,8900,267000,BC70062
2026-07-29,10002,梅田スキンクリニック,BTX-201,Botulax 100U,50,6900,345000,BC70044
2026-08-05,10004,銀座クリニック,BTX-201,Botulax 100U,10,6900,69000,BC70089
2026-08-12,10003,天神美容外科,THR-301,Mint Lift Thread,30,14500,435000,BC70071
2026-08-19,10001,心斎橋美容クリニック,THR-301,Mint Lift Thread,30,14500,435000,BC70028
2026-08-26,10001,心斎橋美容クリニック,JSH-001,Jalupro Super Hydro,10,9800,98000,BC70011
2026-08-26,10002,梅田スキンクリニック,BTX-201,Botulax 100U,20,6900,138000,BC70045
2026-08-26,10002,梅田スキンクリニック,REJ-010,Rejuran Healer,10,12800,128000,BC70036
2026-08-26,10003,天神美容外科,FLR-101,Neuramis Deep,10,8900,89000,BC70063
2026-09-02,10003,天神美容外科,JSH-001,Jalupro Super Hydro,30,9800,294000,BC70053
